Date,Ret
2007-01-15,
2007-01-16,0.03447050372532323
2007-01-17,-0.00942328429559669
2007-01-18,0.02444033874175866
2007-01-19,0.03559743608309773
2007-01-22,0.04600215406470887
2007-01-23,0.0012390515036393435
2007-01-24,0.009687481347696592
2007-01-25,-0.04792975947761868
2007-01-26,0.005533430317458121
2007-01-29,0.03399671586766506
2007-01-30,-0.00206051855351419
2007-01-31,-0.05011086297584422
2007-02-01,0.010506367332729472
2007-02-02,-0.017687684290006
2007-02-05,0.011821706884101557
2007-02-06,0.0213678708328493
2007-02-07,0.01806218523099634
2007-02-08,0.018097414412514334
2007-02-09,0.001183263146575797
2007-02-12,0.026272378603514612
2007-02-13,0.018404389100377783
2007-02-14,0.021727167410884762
2007-02-15,0.03138107004264046
2007-02-16,0.011545524959779563
2007-02-26,0.039625656476387716
2007-02-27,-0.08952679558868393
2007-02-28,0.04487868591862054
2007-03-01,-0.021492457031596524
2007-03-02,0.003603155261350688
2007-03-05,0.017640364726076774
2007-03-06,0.0016270448534105864
2007-03-07,0.02567326032600148
2007-03-08,0.021034667559483466
2007-03-09,0.0012023322513101675
2007-03-12,0.02215654232089137
2007-03-13,0.011480821228430749
2007-03-14,-0.006881140110469253
2007-03-15,0.019255454764614877
2007-03-16,-0.018104246382627975
2007-03-19,0.01498269369030747
2007-03-20,0.021529164154379554
2007-03-21,0.017181399459354152
2007-03-22,0.0007485118953929337
2007-03-23,0.012880503127068899
2007-03-26,0.03141892043440997
2007-03-27,0.01688930700747493
2007-03-28,-0.011593553485501396
2007-03-29,-0.03219524048071187
2007-03-30,0.006360291803708451
2007-04-02,0.023091087549691247
2007-04-03,0.016311635038398054
2007-04-04,0.011977146132686745
2007-04-05,0.017617000351749068
2007-04-06,0.01584830818392513
2007-04-09,0.018067441938647066
2007-04-10,0.0065503153718387
2007-04-11,0.014783872707477164
2007-04-12,0.023466158268990567
2007-04-13,-0.008496161671506242
2007-04-16,0.02960580379154365
2007-04-17,0.028960977332133764
2007-04-18,0.025714571571821443
2007-04-19,-0.05861664777020892
2007-04-20,0.05198557532787307
2007-04-23,0.04644350874047665
2007-04-24,0.010353609062950797
2007-04-25,-0.004283752410101371
2007-04-26,0.01267343417136102
2007-04-27,-0.0019349804023545136
2007-04-30,0.015049093650679302
2007-05-08,0.04801714480841057
2007-05-09,0.0019537375098781506
2007-05-10,0.007063700896239755
2007-05-11,-0.004524620519800848
2007-05-14,0.005943199048620951
2007-05-15,-0.032669251197317006
2007-05-16,0.02984962652330947
2007-05-17,0.025199246552872312
2007-05-18,0.003143598648290613
2007-05-21,0.030452270680029203
2007-05-22,0.021918785671273033
2007-05-23,0.02746594980551853
2007-05-24,-0.002316082775790096
2007-05-25,0.0170973860230772
2007-05-28,0.024053212819233005
2007-05-29,0.019311376333793318
2007-05-30,-0.08187168600329309
2007-05-31,-0.04229941617210242
2007-06-01,-0.07201377015362309
2007-06-04,-0.08629188358269102
2007-06-05,0.01148012760425865
2007-06-06,0.020954961585757825
2007-06-07,0.053475699711875935
2007-06-08,0.016790939568163354
2007-06-11,0.02540253638141432
2007-06-12,0.0277460311736899
2007-06-13,0.03652870400309505
2007-06-14,-0.013848961585169128
2007-06-15,0.001056360484464669
2007-06-18,0.028415185345636473
2007-06-19,0.020239751215594515
2007-06-20,-0.029325244483756174
2007-06-21,-0.004942884997968577
2007-06-22,-0.05744055075702581
2007-06-25,-0.06579113628564115
2007-06-26,0.019927340584390496
2007-06-27,0.023827202005343828
2007-06-28,-0.06571716323418886
2007-06-29,-0.04590021548822265
2007-07-02,0.01654001716922049
2007-07-03,0.016438807174075754
2007-07-04,-0.022184756361233404
2007-07-05,-0.06689794226005219
2007-07-06,0.06248130646335581
2007-07-09,0.03350720350439418
2007-07-10,-0.028430800433438708
2007-07-11,0.013067541977163089
2007-07-12,0.0048898109139901
2007-07-13,-0.00417577478600184
2007-07-16,-0.015144788687704192
2007-07-17,0.0027507458731867995
2007-07-18,0.0038663498765503235
2007-07-19,0.00439831682504499
2007-07-20,0.040783104166105755
2007-07-23,0.05174379688888986
2007-07-24,0.0020656054977077343
2007-07-25,0.028501492229313197
2007-07-26,0.020467144213073496
2007-07-27,0.018823249813106235
2007-07-30,0.019515116398623356
2007-07-31,0.011599111619970293
2007-08-01,-0.05505719886347116
2007-08-02,0.04221828900047697
2007-08-03,0.016425894510966987
2007-08-06,0.02184572895887893
2007-08-07,-0.007593114557857938
2007-08-08,-0.016714234133949235
2007-08-09,0.010609435670300149
2007-08-10,-0.02099228736216996
2007-08-13,-0.004379587891954695
2007-08-14,0.02458355130128309
2007-08-15,-0.005277257187786155
2007-08-16,0.005929122019037836
2007-08-17,-0.010830467233421182
2007-08-20,0.040922976084764695
2007-08-21,0.011969839217025546
2007-08-22,0.012924190535491986
2007-08-23,0.010412037588435341
2007-08-24,0.0019252872774084828
2007-08-27,-0.0038813372175519056
2007-08-28,0.0011105833705855606
2007-08-29,-0.005994345204682339
2007-08-30,0.03026052236347221
2007-08-31,0.011133827871916857
2007-09-03,0.02270421893337926
2007-09-04,-0.005650817266217301
2007-09-05,0.006063612921438644
2007-09-06,0.010933738384175218
2007-09-07,-0.024930140370722498
2007-09-10,0.02018735305151753
2007-09-11,-0.06331866159972888
2007-09-12,0.010781413603136558
2007-09-13,0.0213575631098466
2007-09-14,0.013141279477476564
2007-09-17,0.022465034292179942
2007-09-18,0.009636664733733813
2007-09-19,-0.013174028926037584
2007-09-20,0.00993756140511004
2007-09-21,-0.00989057462791465
2007-09-24,0.005147704949229892
